init data done
京,0.55914 |  京,0.55914 方,0.07137
筑,0.38826 |  筑,0.38826 国,0.18057
大,0.57358 |  大,0.57358 学,0.10142
学,0.99977 |  学,0.99977 道,0.00010
）,0.82994 |  ）,0.82994 、,0.02429
、,0.68285 |  、,0.68285 。,0.05342
四,0.00238 |  南,0.17918 北,0.16283
川,0.68566 |  川,0.68566 大,0.12003
大,0.38602 |  大,0.38602 工,0.06625
学,0.96314 |  学,0.96314 专,0.00619
、,0.33736 |  、,0.33736 （,0.12455
云,0.00108 |  南,0.19597 北,0.14383
南,0.99264 |  南,0.99264 北,0.00331
大,0.51345 |  大,0.51345 省,0.10749
学,0.97774 |  学,0.97774 专,0.00569
的,0.00092 |  、,0.60679 。,0.06043
航,0.00260 |  学,0.04273 南,0.04188
空,0.77670 |  空,0.77670 线,0.04222
院,0.00254 |  工,0.15362 学,0.11418
系,0.01979 |  、,0.23156 。,0.22419
。,0.20134 |  、,0.31185 。,0.20134
 ,0.01314 |  
,0.60271 1,0.05076
1,0.04315 |  
,0.65022 1,0.04315
9,0.98623 |  9,0.98623 0,0.00434
5,0.19141 |  6,0.19381 5,0.19141
2,0.10550 |  0,0.14812 8,0.11632
年,0.97868 |  年,0.97868 -,0.00557
1,0.06499 |  ，,0.28789 1,0.06499
0,0.22196 |  2,0.37409 1,0.24638
月,0.99925 |  月,0.99925 2,0.00010
2,0.13226 |  ，,0.32677 1,0.15605
5,0.10842 |  0,0.11069 5,0.10842
日,0.99824 |  日,0.99824 号,0.00108
，,0.60126 |  ，,0.60126 中,0.01646
在,0.01463 |  中,0.13035 北,0.08183
清,0.00446 |  北,0.14056 南,0.13883
华,0.81707 |  华,0.81707 朝,0.03038
大,0.95345 |  大,0.95345 学,0.01638
学,0.99912 |  学,0.99912 道,0.00035
航,0.00333 |  的,0.04604 中,0.03746
空,0.84074 |  空,0.84074 天,0.03102
工,0.12792 |  工,0.12792 学,0.12160
程,0.94840 |  程,0.94840 业,0.04645
学,0.25629 |  学,0.25629 系,0.17249
院,0.97244 |  院,0.97244 系,0.01765
和,0.02006 |  （,0.07761 的,0.06029
四,0.00261 |  南,0.08637 北,0.06620
川,0.68276 |  川,0.68276 大,0.12628
大,0.45693 |  大,0.45693 省,0.09655
学,0.99170 |  学,0.99170 专,0.00274
、,0.03248 |  合,0.05105 （,0.03971
北,0.08410 |  南,0.11055 北,0.08410
京,0.97121 |  京,0.97121 平,0.00732
工,0.02936 |  大,0.69799 航,0.04078
业,0.32806 |  程,0.49354 业,0.32806
学,0.03107 |  大,0.92536 学,0.03107
院,0.98891 |  院,0.98891 校,0.01074
航,0.00130 |  、,0.38173 合,0.08493
空,0.78802 |  空,0.78802 天,0.04868
系,0.04435 |  工,0.14281 学,0.10492
合,0.07857 |  统,0.26496 、,0.11119
并,0.72756 |  并,0.72756 作,0.14632
的,0.02316 |  成,0.16439 后,0.12585
基,0.00265 |  北,0.04771 一,0.04568
础,0.96197 |  础,0.96197 地,0.02585
上,0.96354 |  上,0.96354 建,0.00890
，,0.55325 |  ，,0.55325 建,0.08024
成,0.02853 |  南,0.05453 北,0.03912
立,0.57800 |  立,0.57800 都,0.23681
了,0.44967 |  了,0.44967 北,0.07691
新,0.01506 |  北,0.15977 南,0.11924
中,0.02431 |  北,0.20467 华,0.10509
国,0.69401 |  国,0.69401 央,0.06805
第,0.01495 |  大,0.15811 航,0.08066
一,0.77591 |  一,0.77591 二,0.08038
所,0.21217 |  所,0.21217 个,0.11745
航,0.05586 |  大,0.09521 高,0.06256
空,0.95136 |  空,0.95136 天,0.02046
航,0.09704 |  工,0.20538 学,0.12657
天,0.67942 |  天,0.67942 空,0.27839
科,0.15393 |  工,0.24462 科,0.15393
技,0.44885 |  学,0.50386 技,0.44885
大,0.16609 |  学,0.29665 大,0.16609
学,0.99715 |  学,0.99715 专,0.00084
—,0.00316 |  。,0.47739 ，,0.27749
—,0.65451 |  —,0.65451 北,0.04399
北,0.12573 |  中,0.15183 北,0.12573
京,0.96137 |  京,0.96137 平,0.01346
航,0.12265 |  大,0.29267 航,0.12265
空,0.97801 |  空,0.97801 天,0.01373
学,0.24245 |  航,0.29783 学,0.24245
院,0.98727 |  院,0.98727 校,0.00773
。,0.32813 |  。,0.32813 ，,0.29917
 ,0.01038 |  
,0.39072 1,0.21220
1,0.16046 |  
,0.51968 1,0.16046
9,0.98920 |  9,0.98920 0,0.00544
5,0.32768 |  5,0.32768 6,0.29422
3,0.10677 |  0,0.13216 8,0.12297
年,0.99677 |  年,0.99677 -,0.00109
5,0.04594 |  1,0.24287 ，,0.15369
月,0.99994 |  月,0.99994 2,0.00002
，,0.56260 |  ，,0.56260 1,0.10037
在,0.01722 |  中,0.11486 北,0.11043
西,0.01265 |  北,0.20269 南,0.13129
北,0.21094 |  安,0.27268 南,0.21691
郊,0.00017 |  大,0.29671 航,0.14949
海,0.00455 |  区,0.13115 外,0.09458
淀,0.00138 |  上,0.07015 南,0.04533
区,0.11420 |  区,0.11420 大,0.04823
柏,0.00016 |  的,0.08602 建,0.03057
彦,0.00004 |  林,0.82716 木,0.02843
庄,0.00163 |  南,0.02797 大,0.02343
选,0.00137 |  的,0.05433 、,0.03170
定,0.00738 |  址,0.38948 举,0.18746
校,0.00713 |  了,0.16205 的,0.12098
址,0.05427 |  区,0.34815 园,0.14635
后,0.00475 |  ，,0.25600 。,0.12818
，,0.61361 |  ，,0.61361 的,0.03686
6,0.00031 |  北,0.04846 南,0.03887
月,0.56978 |  月,0.56978 0,0.12892
1,0.20588 |  2,0.23876 1,0.20588
日,0.11929 |  日,0.11929 1,0.11430
就,0.00074 |  ，,0.25838 至,0.05195
在,0.04686 |  任,0.10708 开,0.07826
四,0.00221 |  北,0.20844 南,0.13439
周,0.00045 |  川,0.92404 大,0.01026
没,0.00005 |  大,0.05826 一,0.04517
有,0.90071 |  有,0.90071 收,0.02484
公,0.00639 |  航,0.02911 学,0.02873
路,0.06130 |  开,0.28325 布,0.12580
的,0.11687 |  的,0.11687 ，,0.04209
一,0.02231 |  航,0.07772 工,0.02879
片,0.00133 |  个,0.14074 条,0.08964
农,0.00103 |  工,0.04734 航,0.03909
田,0.02974 |  业,0.36892 场,0.10942
及,0.00276 |  ，,0.15159 。,0.10861
坟,0.00001 |  其,0.03524 南,0.02299
堆,0.00027 |  场,0.41106 地,0.12666
土,0.00105 |  。,0.14336 ，,0.12589
洼,0.00012 |  地,0.46045 木,0.08107
上,0.02088 |  ，,0.17510 。,0.13234
正,0.00116 |  ，,0.19973 。,0.11714
式,0.64707 |  式,0.64707 在,0.07268
动,0.00244 |  开,0.16494 建,0.10803
工,0.96212 |  工,0.96212 用,0.01144
兴,0.00675 |  。,0.50411 ，,0.38161
建,0.99688 |  建,0.99688 办,0.00075
，,0.28857 |  。,0.42127 ，,0.28857
数,0.00066 |  并,0.08297 1,0.04714
千,0.01267 |  次,0.13756 年,0.13168
名,0.07460 |  年,0.17502 万,0.13567
建,0.01681 |  学,0.11378 工,0.10328
筑,0.85388 |  筑,0.85388 设,0.05539
工,0.11041 |  师,0.62046 工,0.11041
人,0.03656 |  程,0.77327 作,0.12560
日,0.00095 |  ，,0.09371 在,0.06541
夜,0.00779 |  本,0.32593 军,0.16210
奋,0.00043 |  在,0.04148 ，,0.03459
战,0.46410 |  战,0.46410 斗,0.14042
，,0.34730 |  ，,0.34730 。,0.22436
半,0.00032 |  并,0.03523 在,0.01828
年,0.11883 |  年,0.11883 个,0.08413
之,0.04333 |  后,0.39293 内,0.10003
内,0.07996 |  后,0.45639 间,0.26933
就,0.00931 |  ，,0.12243 的,0.04062
完,0.01860 |  有,0.04857 开,0.04589
成,0.91095 |  成,0.91095 工,0.06511
了,0.66468 |  了,0.66468 1,0.02007
6,0.01286 |  一,0.09372 1,0.09346
万,0.04879 |  0,0.18222 ,,0.06117
平,0.04124 |  人,0.16663 吨,0.11714
方,0.99054 |  方,0.99054 米,0.00289
米,0.97419 |  米,0.97419 公,0.01923
的,0.39470 |  的,0.39470 。,0.27086
建,0.02930 |  工,0.09565 水,0.06038
筑,0.56872 |  筑,0.56872 设,0.23465
。,0.41013 |  。,0.41013 ，,0.17858
同,0.00540 |  
,0.28967 1,0.16245
年,0.49400 |  年,0.49400 时,0.45264
1,0.28106 |  1,0.28106 ，,0.11039
0,0.30354 |  2,0.36781 0,0.30354
月,0.99992 |  月,0.99992 时,0.00002
全,0.00084 |  ，,0.35047 2,0.16519
体,0.02553 |  国,0.39943 部,0.21355
学,0.02745 |  工,0.06290 建,0.05780
生,0.37781 |  校,0.49296 生,0.37781
及,0.00281 |  在,0.05498 开,0.04209
部,0.00526 |  学,0.05550 其,0.04476
分,0.73607 |  分,0.73607 长,0.07067
教,0.04960 |  学,0.21511 工,0.05648
职,0.02185 |  师,0.67231 授,0.15935
工,0.28426 |  员,0.67250 工,0.28426
即,0.00046 |  在,0.07220 ，,0.05021
迁,0.00728 |  在,0.04549 被,0.04384
居,0.02856 |  往,0.26852 到,0.18160
新,0.01331 |  。,0.06947 ，,0.06823
校,0.06202 |  北,0.13266 加,0.09921
，,0.01442 |  区,0.76688 园,0.08598
开,0.00898 |  1,0.06339 并,0.03257
始,0.17802 |  设,0.22383 始,0.17802
正,0.00228 |  了,0.08936 建,0.06638
常,0.02665 |  式,0.72646 在,0.08721
的,0.02198 |  运,0.11059 工,0.07443
学,0.12880 |  学,0.12880 工,0.06767
习,0.03739 |  生,0.57540 校,0.25295
与,0.00919 |  。,0.22183 ，,0.19258
工,0.04652 |  学,0.07188 工,0.04652
作,0.35002 |  程,0.59824 作,0.35002
。,0.55835 |  。,0.55835 ，,0.26793
计,0.00108 |  
,0.27656 1,0.20380
划,0.88750 |  划,0.88750 算,0.08044
中,0.04702 |  在,0.05434 中,0.04702
的,0.20243 |  的,0.20243 ，,0.12996
基,0.00307 |  1,0.06361 一,0.04762
本,0.21016 |  础,0.53480 本,0.21016
建,0.07301 |  学,0.07472 建,0.07301
设,0.68990 |  设,0.68990 筑,0.26934
任,0.00029 |  工,0.05864 是,0.04547
务,0.92785 |  务,0.92785 期,0.00939
到,0.00124 |  是,0.19791 为,0.04640
1,0.17221 |  1,0.17221 了,0.13425
9,0.86037 |  9,0.86037 0,0.03841
5,0.14601 |  7,0.20147 6,0.18849
7,0.09323 |  0,0.16290 4,0.11230
年,0.99088 |  年,0.99088 至,0.00182
基,0.00034 |  ，,0.17152 1,0.07817
本,0.25745 |  础,0.55065 本,0.25745
完,0.27270 |  上,0.29851 完,0.27270
成,0.91666 |  成,0.91666 工,0.02597
，,0.27512 |  。,0.47343 ，,0.27512
竣,0.00039 |  并,0.05942 1,0.05633
工,0.99592 |  工,0.99592 成,0.00151
面,0.00053 |  后,0.16698 初,0.04340
积,0.87885 |  积,0.87885 临,0.08129
1,0.12395 |  达,0.12674 1,0.12395
3,0.08641 |  0,0.15246 1,0.13238
5,0.06517 |  0,0.15506 .,0.13061
2,0.03898 |  .,0.19088 0,0.16443
4,0.04517 |  平,0.25946 .,0.18843
5,0.01733 |  平,0.57914 .,0.12338
平,0.71840 |  平,0.71840 .,0.08836
方,0.99971 |  方,0.99971 米,0.00029
米,0.99102 |  米,0.99102 公,0.00707
，,0.27776 |  。,0.66750 ，,0.27776
修,0.00202 |  建,0.08444 设,0.03418
建,0.46577 |  建,0.46577 筑,0.21848
道,0.00103 |  了,0.12689 1,0.07561
路,0.13836 |  1,0.14019 路,0.13836
6,0.04124 |  1,0.22255 2,0.11566
4,0.07609 |  0,0.14187 2,0.12382
1,0.05215 |  0,0.13054 7,0.08925
6,0.02931 |  0,0.11678 .,0.08242
0,0.09172 |  平,0.13233 .,0.11985
平,0.27960 |  平,0.27960 米,0.24300
方,0.99962 |  方,0.99962 米,0.00038
米,0.99841 |  米,0.99841 公,0.00123
，,0.37558 |  。,0.54078 ，,0.37558
完,0.00848 |  设,0.06582 建,0.05494
成,0.67138 |  成,0.67138 工,0.20804
投,0.00121 |  1,0.16701 了,0.07716
资,0.86614 |  资,0.86614 入,0.06212
3,0.09025 |  1,0.27046 2,0.13381
5,0.09920 |  0,0.18214 .,0.10136
6,0.01917 |  0,0.21528 .,0.14659
0,0.15266 |  亿,0.21835 0,0.15266
余,0.00229 |  万,0.58817 0,0.18770
万,0.75333 |  万,0.75333 亿,0.16827
元,0.86962 |  元,0.86962 美,0.03019
。,0.44434 |  。,0.44434 ，,0.31840
 ,0.01456 |  
,0.43272 1,0.12893
1,0.11777 |  
,0.49408 1,0.11777
9,0.94986 |  9,0.94986 0,0.02185
5,0.25260 |  6,0.28663 5,0.25260
4,0.09817 |  0,0.12646 8,0.11694
年,0.99623 |  年,0.99623 -,0.00073
6,0.05687 |  1,0.24811 ，,0.10886
月,0.99980 |  月,0.99980 2,0.00005
，,0.35695 |  ，,0.35695 2,0.16966
为,0.00689 |  中,0.05686 该,0.02691
适,0.00099 |  了,0.20896 纪,0.06623
应,0.79585 |  应,0.79585 合,0.10322
航,0.00145 |  中,0.03948 工,0.03138
空,0.85347 |  空,0.85347 线,0.03195
工,0.18611 |  工,0.18611 公,0.06305
业,0.06144 |  程,0.92982 业,0.06144
建,0.04163 |  的,0.15144 ，,0.04318
设,0.93998 |  设,0.93998 筑,0.01919
的,0.16105 |  ，,0.20878 的,0.16105
需,0.00776 |  工,0.07536 建,0.06813
要,0.40735 |  求,0.58771 要,0.40735
，,0.79618 |  ，,0.79618 。,0.02419
北,0.00752 |  建,0.04119 1,0.03071
航,0.00039 |  京,0.86962 平,0.02039
增,0.00056 |  工,0.04564 空,0.04488
设,0.28745 |  设,0.28745 建,0.21285
飞,0.00317 |  了,0.23229 的,0.03279
机,0.77962 |  机,0.77962 行,0.17106
设,0.03175 |  ，,0.06205 工,0.06029
备,0.16528 |  计,0.69188 备,0.16528
、,0.07068 |  ，,0.11453 。,0.10602
航,0.04533 |  航,0.04533 工,0.04467
空,0.91248 |  空,0.91248 天,0.01759
材,0.00024 |  工,0.17778 、,0.11589
料,0.98610 |  料,0.98610 质,0.00753
两,0.00055 |  、,0.32957 和,0.06239
个,0.38132 |  个,0.38132 项,0.07862
系,0.04456 |  工,0.14772 研,0.06560
以,0.00282 |  统,0.29589 ，,0.17576
及,0.76169 |  及,0.76169 外,0.00868
航,0.00806 |  1,0.03103 工,0.02504
空,0.86729 |  空,0.86729 线,0.02733
仪,0.00026 |  工,0.22440 设,0.04503
表,0.02789 |  器,0.86268 表,0.02789
与,0.00940 |  。,0.18045 ，,0.14036
自,0.00224 |  工,0.05312 机,0.04397
动,0.15514 |  然,0.30974 由,0.16472
器,0.00005 |  化,0.69497 控,0.05796
、,0.05891 |  工,0.08080 材,0.07414
飞,0.01847 |  机,0.07913 航,0.04545
机,0.93409 |  机,0.93409 行,0.04976
电,0.00351 |  、,0.25322 等,0.06814
气,0.06002 |  子,0.31022 力,0.12464
设,0.05205 |  化,0.16199 、,0.14075
备,0.39262 |  计,0.57166 备,0.39262
、,0.40436 |  、,0.40436 等,0.10496
特,0.00138 |  航,0.03869 工,0.03669
种,0.04028 |  殊,0.31987 别,0.21982
设,0.06319 |  机,0.15197 工,0.07691
备,0.27745 |  计,0.70094 备,0.27745
、,0.37602 |  、,0.37602 等,0.07308
金,0.00107 |  机,0.04813 航,0.04410
相,0.00006 |  融,0.59039 属,0.33207
热,0.00046 |  机,0.21530 、,0.05404
处,0.00998 |  气,0.22139 机,0.10962
理,0.94089 |  理,0.94089 、,0.01290
、,0.36442 |  、,0.36442 等,0.07341
铸,0.00028 |  工,0.03691 电,0.03243
造,0.82980 |  造,0.82980 钢,0.02257
、,0.11644 |  、,0.11644 工,0.07066
压,0.00099 |  水,0.03412 电,0.03262
力,0.63465 |  力,0.63465 缩,0.04954
加,0.00204 |  、,0.41463 等,0.10994
工,0.67313 |  工,0.67313 速,0.08895
和,0.03271 |  、,0.37462 等,0.12881
焊,0.00098 |  工,0.05331 水,0.03802
接,0.97451 |  接,0.97451 结,0.00321
7,0.00016 |  设,0.14591 工,0.09330
个,0.20601 |  个,0.20601 0,0.20491
专,0.02465 |  工,0.08559 机,0.06431
业,0.56638 |  业,0.56638 用,0.15348
。,0.26551 |  。,0.26551 ，,0.10752
 ,0.01174 |  
,0.36358 1,0.16566
1,0.14970 |  
,0.44179 1,0.14970
9,0.95369 |  9,0.95369 0,0.02114
5,0.35815 |  5,0.35815 6,0.30912
6,0.09067 |  0,0.13725 3,0.11512
~,0.00002 |  年,0.99860 -,0.00036
1,0.60267 |  1,0.60267 2,0.12424
9,0.98786 |  9,0.98786 0,0.00481
5,0.12739 |  7,0.32252 8,0.30767
7,0.11336 |  8,0.14542 5,0.12381
年,0.98776 |  年,0.98776 月,0.00111
，,0.41429 |  ，,0.41429 间,0.27923
根,0.00127 |  中,0.05625 1,0.05463
据,0.99214 |  据,0.99214 本,0.00268
中,0.06737 |  中,0.06737 1,0.05641
国,0.55413 |  国,0.55413 央,0.18751
1,0.00179 |  人,0.12287 科,0.10687
2,0.09225 |  9,0.41566 0,0.11583
年,0.00611 |  个,0.19243 0,0.09966
科,0.00658 |  的,0.08285 国,0.06190
学,0.69988 |  学,0.69988 技,0.17325
规,0.00099 |  技,0.41997 研,0.16524
划,0.76600 |  划,0.76600 模,0.11759
的,0.06799 |  ，,0.13182 的,0.06799
要,0.00143 |  研,0.11997 建,0.05105
求,0.99235 |  求,0.99235 塞,0.00076
，,0.64070 |  ，,0.64070 ：,0.01449
北,0.01064 |  1,0.06337 中,0.03280
航,0.00014 |  京,0.94062 平,0.00915
在,0.01087 |  空,0.04304 工,0.02882
中,0.03797 |  1,0.14286 2,0.04965
国,0.72795 |  国,0.72795 央,0.03724
国,0.01823 |  大,0.09579 的,0.03674
内,0.12873 |  家,0.72204 内,0.12873
率,0.00003 |  设,0.05707 生,0.04556
先,0.44339 |  先,0.44339 领,0.24678
设,0.01165 |  进,0.11328 建,0.05099
立,0.22447 |  计,0.62917 立,0.22447
导,0.00013 |  了,0.38113 “,0.05053
弹,0.24017 |  航,0.60416 弹,0.24017
类,0.00054 |  大,0.03620 研,0.03394
、,0.01024 |  型,0.17459 别,0.07560
管,0.00114 |  中,0.03080 空,0.02229
理,0.74586 |  理,0.74586 制,0.05701
类,0.00097 |  、,0.11905 工,0.09045
以,0.00214 |  、,0.19444 型,0.05611
及,0.92478 |  及,0.92478 下,0.01002
理,0.00123 |  其,0.02414 研,0.02257
科,0.04954 |  论,0.43647 工,0.18743
与,0.00881 |  学,0.13054 、,0.11323
工,0.05572 |  技,0.07953 科,0.07183
科,0.00033 |  程,0.74404 业,0.18024
相,0.00192 |  。,0.14922 、,0.14245
结,0.00588 |  关,0.82367 同,0.01899
合,0.99204 |  合,0.99204 构,0.00249
的,0.30958 |  的,0.30958 。,0.20716
空,0.00495 |  研,0.10104 技,0.05649
气,0.16365 |  间,0.41970 中,0.24333
动,0.05843 |  动,0.05843 污,0.04120
力,0.99370 |  力,0.99370 物,0.00214
学,0.74692 |  学,0.74692 研,0.03953
等,0.00921 |  。,0.14947 ，,0.09318
专,0.01486 |  。,0.38531 ，,0.09178
业,0.63654 |  业,0.63654 门,0.11408
。,0.24886 |  。,0.24886 ，,0.13478
增,0.00021 |  
,0.33638 1,0.20168
设,0.41027 |  设,0.41027 加,0.22284
了,0.10876 |  了,0.10876 的,0.04702
导,0.00056 |  一,0.09941 “,0.05359
弹,0.33013 |  航,0.49138 弹,0.33013
设,0.01844 |  、,0.09085 研,0.04017
计,0.73173 |  计,0.73173 备,0.24405
、,0.08105 |  研,0.13124 系,0.08361
液,0.00157 |  研,0.03884 技,0.03549
体,0.06704 |  压,0.30375 晶,0.23739
火,0.00046 |  化,0.12948 工,0.05098
箭,0.88374 |  箭,0.88374 控,0.03511
发,0.01007 |  、,0.34625 和,0.05799
动,0.33933 |  电,0.51292 动,0.33933
机,0.99960 |  机,0.99960 、,0.00006
、,0.55742 |  、,0.55742 和,0.06085
空,0.02293 |  水,0.02391 电,0.02319
气,0.72186 |  气,0.72186 中,0.11786
动,0.26080 |  动,0.26080 气,0.06001
力,0.99009 |  力,0.99009 机,0.00508
学,0.48689 |  学,0.48689 、,0.07767
、,0.50182 |  、,0.50182 和,0.08418
无,0.00199 |  水,0.05586 空,0.03957
线,0.59321 |  线,0.59321 轨,0.03552
电,0.97879 |  电,0.97879 通,0.00313
设,0.01123 |  、,0.09433 电,0.05060
备,0.47667 |  计,0.51182 备,0.47667
、,0.55553 |  、,0.55553 等,0.10376
航,0.00977 |  电,0.05442 水,0.02758
空,0.93281 |  空,0.93281 天,0.03566
工,0.09578 |  工,0.09578 器,0.09068
程,0.95372 |  程,0.95372 业,0.02913
经,0.00073 |  、,0.45158 等,0.08842
济,0.54226 |  济,0.54226 验,0.31642
、,0.34592 |  、,0.34592 等,0.06345
仪,0.00103 |  电,0.03703 技,0.02671
表,0.04639 |  器,0.84983 式,0.05328
工,0.02155 |  、,0.28485 等,0.04498
艺,0.00769 |  程,0.83267 作,0.07544
等,0.07164 |  、,0.42696 等,0.07164
专,0.01321 |  。,0.31413 ，,0.06642
