init data done
京,0.55914 |  京,0.55914 方,0.07137
筑,0.39016 |  筑,0.39016 国,0.17953
大,0.57221 |  大,0.57221 学,0.10184
学,0.99977 |  学,0.99977 道,0.00011
）,0.82861 |  ）,0.82861 、,0.02453
、,0.68444 |  、,0.68444 。,0.05267
四,0.00238 |  南,0.17944 北,0.16214
川,0.68363 |  川,0.68363 大,0.12077
大,0.38505 |  大,0.38505 工,0.06595
学,0.96243 |  学,0.96243 专,0.00627
、,0.33588 |  、,0.33588 （,0.12484
云,0.00108 |  南,0.19613 北,0.14356
南,0.99255 |  南,0.99255 北,0.00333
大,0.51334 |  大,0.51334 省,0.10675
学,0.97745 |  学,0.97745 专,0.00573
的,0.00094 |  、,0.60633 。,0.05987
航,0.00257 |  学,0.04250 南,0.04201
空,0.77519 |  空,0.77519 线,0.04226
院,0.00253 |  工,0.15188 学,0.11392
系,0.01979 |  、,0.23415 。,0.22159
。,0.19896 |  、,0.31447 。,0.19896
 ,0.01323 |  
,0.60227 1,0.05096
1,0.04311 |  
,0.65063 1,0.04311
9,0.98619 |  9,0.98619 0,0.00430
5,0.18661 |  6,0.19196 8,0.18985
2,0.10564 |  0,0.14830 8,0.11619
年,0.97836 |  年,0.97836 -,0.00563
1,0.06379 |  ，,0.29140 1,0.06379
0,0.22200 |  2,0.37412 1,0.24677
月,0.99923 |  月,0.99923 2,0.00010
2,0.13203 |  ，,0.32780 1,0.15553
5,0.10820 |  0,0.11079 5,0.10820
日,0.99823 |  日,0.99823 号,0.00109
，,0.60286 |  ，,0.60286 中,0.01640
在,0.01469 |  中,0.12979 北,0.08186
清,0.00448 |  北,0.14021 南,0.13870
华,0.81548 |  华,0.81548 朝,0.03054
大,0.95335 |  大,0.95335 学,0.01638
学,0.99910 |  学,0.99910 道,0.00035
航,0.00333 |  的,0.04638 中,0.03752
空,0.84061 |  空,0.84061 天,0.03127
工,0.12754 |  工,0.12754 学,0.12141
程,0.94809 |  程,0.94809 业,0.04673
学,0.25648 |  学,0.25648 系,0.17272
院,0.97217 |  院,0.97217 系,0.01786
和,0.02011 |  （,0.07761 的,0.06090
四,0.00261 |  南,0.08653 北,0.06607
川,0.68080 |  川,0.68080 大,0.12687
大,0.45657 |  大,0.45657 省,0.09634
学,0.99162 |  学,0.99162 专,0.00275
、,0.03233 |  合,0.05057 （,0.03944
北,0.08400 |  南,0.11059 北,0.08400
京,0.97134 |  京,0.97134 平,0.00729
工,0.02935 |  大,0.69749 航,0.04060
业,0.32856 |  程,0.49276 业,0.32856
学,0.03120 |  大,0.92495 学,0.03120
院,0.98886 |  院,0.98886 校,0.01079
航,0.00130 |  、,0.38132 合,0.08427
空,0.78782 |  空,0.78782 天,0.04898
系,0.04431 |  工,0.14257 学,0.10467
合,0.07815 |  统,0.26364 、,0.11122
并,0.72550 |  并,0.72550 作,0.14721
的,0.02328 |  成,0.16327 后,0.12647
基,0.00265 |  北,0.04762 一,0.04566
础,0.96173 |  础,0.96173 地,0.02600
上,0.96357 |  上,0.96357 建,0.00887
，,0.55484 |  ，,0.55484 建,0.07956
成,0.02822 |  南,0.05478 北,0.03926
立,0.57276 |  立,0.57276 都,0.24044
了,0.45326 |  了,0.45326 北,0.07611
新,0.01508 |  北,0.15977 南,0.11935
中,0.02430 |  北,0.20432 华,0.10483
国,0.69337 |  国,0.69337 央,0.06799
第,0.01496 |  大,0.15774 航,0.08040
一,0.77640 |  一,0.77640 二,0.08037
所,0.21269 |  所,0.21269 个,0.11805
航,0.05562 |  大,0.09497 高,0.06243
空,0.95113 |  空,0.95113 天,0.02058
航,0.09699 |  工,0.20489 学,0.12616
天,0.67959 |  天,0.67959 空,0.27818
科,0.15387 |  工,0.24409 科,0.15387
技,0.44916 |  学,0.50345 技,0.44916
大,0.16600 |  学,0.29663 大,0.16600
学,0.99712 |  学,0.99712 专,0.00085
—,0.00318 |  。,0.47675 ，,0.27769
—,0.65404 |  —,0.65404 北,0.04401
北,0.12565 |  中,0.15162 北,0.12565
京,0.96147 |  京,0.96147 平,0.01340
航,0.12245 |  大,0.29250 航,0.12245
空,0.97795 |  空,0.97795 天,0.01378
学,0.24202 |  航,0.29774 学,0.24202
院,0.98723 |  院,0.98723 校,0.00776
。,0.32784 |  。,0.32784 ，,0.29945
 ,0.01043 |  
,0.39124 1,0.21189
1,0.16039 |  
,0.52012 1,0.16039
9,0.98921 |  9,0.98921 0,0.00543
5,0.32660 |  5,0.32660 6,0.29389
3,0.10673 |  0,0.13212 8,0.12298
年,0.99673 |  年,0.99673 -,0.00111
5,0.04578 |  1,0.24180 ，,0.15552
月,0.99994 |  月,0.99994 2,0.00002
，,0.56301 |  ，,0.56301 1,0.10017
在,0.01724 |  中,0.11471 北,0.11042
西,0.01265 |  北,0.20258 南,0.13139
北,0.21072 |  安,0.27270 南,0.21679
郊,0.00017 |  大,0.29671 航,0.14914
海,0.00453 |  区,0.13116 外,0.09467
淀,0.00138 |  上,0.07014 南,0.04532
区,0.11406 |  区,0.11406 大,0.04822
柏,0.00016 |  的,0.08616 建,0.03043
彦,0.00004 |  林,0.82684 木,0.02847
庄,0.00163 |  南,0.02795 大,0.02341
选,0.00138 |  的,0.05443 、,0.03167
定,0.00738 |  址,0.38908 举,0.18756
校,0.00711 |  了,0.16267 的,0.12103
址,0.05416 |  区,0.34817 园,0.14669
后,0.00476 |  ，,0.25638 。,0.12800
，,0.61403 |  ，,0.61403 的,0.03691
6,0.00031 |  北,0.04846 南,0.03887
月,0.56899 |  月,0.56899 0,0.12922
1,0.20574 |  2,0.23853 1,0.20574
日,0.11915 |  日,0.11915 1,0.11440
就,0.00075 |  ，,0.25920 至,0.05183
在,0.04690 |  任,0.10695 开,0.07824
四,0.00221 |  北,0.20830 南,0.13439
周,0.00045 |  川,0.92369 大,0.01032
没,0.00005 |  大,0.05824 一,0.04512
有,0.90066 |  有,0.90066 收,0.02483
公,0.00639 |  航,0.02901 学,0.02872
路,0.06108 |  开,0.28327 布,0.12593
的,0.11710 |  的,0.11710 ，,0.04223
一,0.02230 |  航,0.07764 工,0.02876
片,0.00133 |  个,0.14103 条,0.08948
农,0.00104 |  工,0.04719 航,0.03894
田,0.02973 |  业,0.36851 场,0.10987
及,0.00275 |  ，,0.15204 。,0.10884
坟,0.00001 |  其,0.03520 南,0.02296
堆,0.00027 |  场,0.41209 地,0.12660
土,0.00104 |  。,0.14357 ，,0.12627
洼,0.00012 |  地,0.46025 木,0.08091
上,0.02092 |  ，,0.17552 。,0.13250
正,0.00116 |  ，,0.20004 。,0.11719
式,0.64625 |  式,0.64625 在,0.07282
动,0.00243 |  开,0.16496 建,0.10764
工,0.96190 |  工,0.96190 用,0.01151
兴,0.00674 |  。,0.50409 ，,0.38182
建,0.99686 |  建,0.99686 办,0.00076
，,0.28821 |  。,0.42091 ，,0.28821
数,0.00066 |  并,0.08298 1,0.04707
千,0.01270 |  次,0.13758 年,0.13187
名,0.07482 |  年,0.17481 万,0.13588
建,0.01678 |  学,0.11393 工,0.10312
筑,0.85459 |  筑,0.85459 设,0.05501
工,0.11016 |  师,0.62062 工,0.11016
人,0.03668 |  程,0.77272 作,0.12581
日,0.00095 |  ，,0.09371 在,0.06546
夜,0.00784 |  本,0.32535 军,0.16152
奋,0.00043 |  在,0.04150 ，,0.03460
战,0.46321 |  战,0.46321 斗,0.14077
，,0.34756 |  ，,0.34756 。,0.22444
半,0.00032 |  并,0.03520 在,0.01829
年,0.11892 |  年,0.11892 个,0.08421
之,0.04331 |  后,0.39313 内,0.09984
内,0.07987 |  后,0.45631 间,0.26935
就,0.00935 |  ，,0.12255 的,0.04067
完,0.01858 |  有,0.04861 开,0.04588
成,0.91096 |  成,0.91096 工,0.06506
了,0.66563 |  了,0.66563 1,0.02002
6,0.01285 |  一,0.09380 1,0.09348
万,0.04889 |  0,0.18245 ,,0.06133
平,0.04127 |  人,0.16694 吨,0.11667
方,0.99052 |  方,0.99052 米,0.00289
米,0.97428 |  米,0.97428 公,0.01915
的,0.39488 |  的,0.39488 。,0.27089
建,0.02934 |  工,0.09564 水,0.06027
筑,0.57061 |  筑,0.57061 设,0.23353
。,0.41047 |  。,0.41047 ，,0.17873
同,0.00539 |  
,0.28986 1,0.16253
年,0.49434 |  年,0.49434 时,0.45239
1,0.28100 |  1,0.28100 ，,0.11058
0,0.30348 |  2,0.36785 0,0.30348
月,0.99992 |  月,0.99992 时,0.00002
全,0.00084 |  ，,0.35082 2,0.16499
体,0.02548 |  国,0.39968 部,0.21328
学,0.02745 |  工,0.06285 建,0.05765
生,0.37825 |  校,0.49238 生,0.37825
及,0.00281 |  在,0.05500 开,0.04204
部,0.00525 |  学,0.05552 其,0.04477
分,0.73635 |  分,0.73635 长,0.07033
教,0.04964 |  学,0.21507 工,0.05639
职,0.02187 |  师,0.67265 授,0.15895
工,0.28409 |  员,0.67267 工,0.28409
即,0.00046 |  在,0.07224 ，,0.05019
迁,0.00729 |  在,0.04550 被,0.04386
居,0.02858 |  往,0.26838 到,0.18189
新,0.01332 |  。,0.06942 ，,0.06824
校,0.06197 |  北,0.13256 加,0.09912
，,0.01445 |  区,0.76685 园,0.08591
开,0.00899 |  1,0.06340 并,0.03258
始,0.17805 |  设,0.22375 始,0.17805
正,0.00228 |  了,0.08955 建,0.06626
常,0.02667 |  式,0.72621 在,0.08725
的,0.02200 |  运,0.11047 工,0.07438
学,0.12878 |  学,0.12878 工,0.06758
习,0.03741 |  生,0.57538 校,0.25299
与,0.00918 |  。,0.22206 ，,0.19280
工,0.04649 |  学,0.07192 工,0.04649
作,0.35067 |  程,0.59744 作,0.35067
。,0.55851 |  。,0.55851 ，,0.26796
计,0.00107 |  
,0.27658 1,0.20407
划,0.88714 |  划,0.88714 算,0.08068
中,0.04701 |  在,0.05435 中,0.04701
的,0.20249 |  的,0.20249 ，,0.13010
基,0.00307 |  1,0.06361 一,0.04765
本,0.21004 |  础,0.53466 本,0.21004
建,0.07296 |  学,0.07475 建,0.07296
设,0.68924 |  设,0.68924 筑,0.26994
任,0.00029 |  工,0.05861 是,0.04545
务,0.92758 |  务,0.92758 期,0.00942
到,0.00124 |  是,0.19776 为,0.04635
1,0.17233 |  1,0.17233 了,0.13442
9,0.86041 |  9,0.86041 0,0.03842
5,0.14573 |  7,0.20166 6,0.18840
7,0.09325 |  0,0.16291 4,0.11230
年,0.99087 |  年,0.99087 至,0.00183
基,0.00034 |  ，,0.17180 1,0.07802
本,0.25738 |  础,0.55076 本,0.25738
完,0.27269 |  上,0.29858 完,0.27269
成,0.91665 |  成,0.91665 工,0.02593
，,0.27507 |  。,0.47354 ，,0.27507
竣,0.00039 |  并,0.05939 1,0.05641
工,0.99591 |  工,0.99591 成,0.00152
面,0.00053 |  后,0.16681 初,0.04329
积,0.87859 |  积,0.87859 临,0.08148
1,0.12395 |  达,0.12672 1,0.12395
3,0.08640 |  0,0.15250 1,0.13237
5,0.06516 |  0,0.15510 .,0.13051
2,0.03898 |  .,0.19081 0,0.16450
4,0.04515 |  平,0.25961 .,0.18837
5,0.01731 |  平,0.57955 .,0.12332
平,0.71880 |  平,0.71880 .,0.08831
方,0.99971 |  方,0.99971 米,0.00029
米,0.99105 |  米,0.99105 公,0.00704
，,0.27776 |  。,0.66750 ，,0.27776
修,0.00202 |  建,0.08443 设,0.03415
建,0.46571 |  建,0.46571 筑,0.21839
道,0.00103 |  了,0.12707 1,0.07563
路,0.13844 |  1,0.14024 路,0.13844
6,0.04123 |  1,0.22266 2,0.11564
4,0.07608 |  0,0.14193 2,0.12381
1,0.05215 |  0,0.13059 7,0.08925
6,0.02930 |  0,0.11684 .,0.08224
0,0.09181 |  平,0.13240 .,0.11955
平,0.27993 |  平,0.27993 米,0.24241
方,0.99962 |  方,0.99962 米,0.00038
米,0.99842 |  米,0.99842 公,0.00122
，,0.37565 |  。,0.54072 ，,0.37565
完,0.00848 |  设,0.06574 建,0.05495
成,0.67160 |  成,0.67160 工,0.20780
投,0.00121 |  1,0.16712 了,0.07723
资,0.86627 |  资,0.86627 入,0.06203
3,0.09021 |  1,0.27050 2,0.13380
5,0.09919 |  0,0.18220 .,0.10131
6,0.01917 |  0,0.21541 .,0.14651
0,0.15280 |  亿,0.21809 0,0.15280
余,0.00229 |  万,0.58833 0,0.18779
万,0.75342 |  万,0.75342 亿,0.16809
元,0.86978 |  元,0.86978 美,0.03014
。,0.44437 |  。,0.44437 ，,0.31839
 ,0.01458 |  
,0.43271 1,0.12908
1,0.11788 |  
,0.49414 1,0.11788
9,0.94990 |  9,0.94990 0,0.02183
5,0.25223 |  6,0.28652 5,0.25223
4,0.09818 |  0,0.12646 8,0.11694
年,0.99623 |  年,0.99623 -,0.00073
6,0.05681 |  1,0.24789 ，,0.10926
月,0.99980 |  月,0.99980 2,0.00005
，,0.35749 |  ，,0.35749 2,0.16942
为,0.00689 |  中,0.05687 该,0.02689
适,0.00099 |  了,0.20887 纪,0.06620
应,0.79568 |  应,0.79568 合,0.10328
航,0.00145 |  中,0.03949 工,0.03139
空,0.85339 |  空,0.85339 线,0.03193
工,0.18597 |  工,0.18597 公,0.06304
业,0.06152 |  程,0.92973 业,0.06152
建,0.04160 |  的,0.15150 ，,0.04321
设,0.93996 |  设,0.93996 筑,0.01920
的,0.16113 |  ，,0.20892 的,0.16113
需,0.00775 |  工,0.07537 建,0.06808
要,0.40749 |  求,0.58757 要,0.40749
，,0.79622 |  ，,0.79622 。,0.02419
北,0.00752 |  建,0.04118 1,0.03072
航,0.00039 |  京,0.86973 平,0.02038
增,0.00056 |  工,0.04566 空,0.04487
设,0.28738 |  设,0.28738 建,0.21286
飞,0.00317 |  了,0.23241 的,0.03279
机,0.77979 |  机,0.77979 行,0.17092
设,0.03173 |  ，,0.06207 工,0.06031
备,0.16544 |  计,0.69172 备,0.16544
、,0.07065 |  ，,0.11453 。,0.10602
航,0.04531 |  航,0.04531 工,0.04469
空,0.91244 |  空,0.91244 天,0.01760
材,0.00024 |  工,0.17770 、,0.11600
料,0.98609 |  料,0.98609 质,0.00753
两,0.00054 |  、,0.32960 和,0.06239
个,0.38144 |  个,0.38144 项,0.07859
系,0.04456 |  工,0.14768 研,0.06565
以,0.00282 |  统,0.29518 ，,0.17612
及,0.76181 |  及,0.76181 外,0.00868
航,0.00805 |  1,0.03103 工,0.02504
空,0.86725 |  空,0.86725 线,0.02733
仪,0.00026 |  工,0.22431 设,0.04502
表,0.02788 |  器,0.86272 表,0.02788
与,0.00940 |  。,0.18044 ，,0.14034
自,0.00224 |  工,0.05312 机,0.04400
动,0.15506 |  然,0.30979 由,0.16476
器,0.00005 |  化,0.69534 控,0.05795
、,0.05891 |  工,0.08082 材,0.07413
飞,0.01846 |  机,0.07918 航,0.04545
机,0.93411 |  机,0.93411 行,0.04975
电,0.00351 |  、,0.25323 等,0.06813
气,0.06006 |  子,0.31019 力,0.12459
设,0.05201 |  化,0.16213 、,0.14079
备,0.39250 |  计,0.57183 备,0.39250
、,0.40439 |  、,0.40439 等,0.10495
特,0.00138 |  航,0.03866 工,0.03671
种,0.04027 |  殊,0.31985 别,0.21977
设,0.06320 |  机,0.15214 工,0.07691
备,0.27741 |  计,0.70100 备,0.27741
、,0.37609 |  、,0.37609 等,0.07308
金,0.00107 |  机,0.04815 航,0.04406
相,0.00006 |  融,0.59067 属,0.33187
热,0.00046 |  机,0.21536 、,0.05407
处,0.00997 |  气,0.22151 机,0.10972
理,0.94091 |  理,0.94091 、,0.01290
、,0.36449 |  、,0.36449 等,0.07342
铸,0.00028 |  工,0.03692 电,0.03244
造,0.82975 |  造,0.82975 钢,0.02258
、,0.11648 |  、,0.11648 工,0.07067
压,0.00099 |  水,0.03409 电,0.03263
力,0.63466 |  力,0.63466 缩,0.04952
加,0.00204 |  、,0.41463 等,0.10994
工,0.67341 |  工,0.67341 速,0.08887
和,0.03272 |  、,0.37462 等,0.12880
焊,0.00098 |  工,0.05333 水,0.03797
接,0.97450 |  接,0.97450 结,0.00321
7,0.00016 |  设,0.14584 工,0.09333
个,0.20611 |  个,0.20611 0,0.20496
专,0.02470 |  工,0.08561 机,0.06435
业,0.56686 |  业,0.56686 用,0.15318
。,0.26578 |  。,0.26578 ，,0.10763
 ,0.01175 |  
,0.36365 1,0.16580
1,0.14979 |  
,0.44186 1,0.14979
9,0.95371 |  9,0.95371 0,0.02113
5,0.35786 |  5,0.35786 6,0.30910
6,0.09066 |  0,0.13725 3,0.11512
~,0.00002 |  年,0.99860 -,0.00036
1,0.60282 |  1,0.60282 2,0.12423
9,0.98787 |  9,0.98787 0,0.00481
5,0.12725 |  7,0.32252 8,0.30784
7,0.11337 |  8,0.14543 5,0.12381
年,0.98775 |  年,0.98775 月,0.00111
，,0.41467 |  ，,0.41467 间,0.27910
根,0.00127 |  中,0.05628 1,0.05464
据,0.99213 |  据,0.99213 本,0.00268
中,0.06741 |  中,0.06741 1,0.05642
国,0.55438 |  国,0.55438 央,0.18735
1,0.00179 |  人,0.12279 科,0.10695
2,0.09225 |  9,0.41563 0,0.11589
年,0.00611 |  个,0.19239 0,0.09973
科,0.00658 |  的,0.08282 国,0.06193
学,0.69989 |  学,0.69989 技,0.17324
规,0.00099 |  技,0.41990 研,0.16522
划,0.76574 |  划,0.76574 模,0.11773
的,0.06802 |  ，,0.13185 的,0.06802
要,0.00143 |  研,0.11991 建,0.05104
求,0.99234 |  求,0.99234 塞,0.00076
，,0.64075 |  ，,0.64075 ：,0.01450
北,0.01064 |  1,0.06339 中,0.03280
航,0.00014 |  京,0.94069 平,0.00914
在,0.01087 |  空,0.04301 工,0.02883
中,0.03798 |  1,0.14283 2,0.04965
国,0.72807 |  国,0.72807 央,0.03722
国,0.01823 |  大,0.09584 的,0.03674
内,0.12882 |  家,0.72194 内,0.12882
率,0.00003 |  设,0.05705 生,0.04556
先,0.44331 |  先,0.44331 领,0.24679
设,0.01164 |  进,0.11329 建,0.05095
立,0.22462 |  计,0.62893 立,0.22462
导,0.00013 |  了,0.38126 “,0.05057
弹,0.24003 |  航,0.60408 弹,0.24003
类,0.00054 |  大,0.03620 研,0.03394
、,0.01025 |  型,0.17462 别,0.07555
管,0.00114 |  中,0.03080 空,0.02227
理,0.74605 |  理,0.74605 制,0.05694
类,0.00097 |  、,0.11911 工,0.09043
以,0.00214 |  、,0.19453 型,0.05609
及,0.92482 |  及,0.92482 下,0.01002
理,0.00123 |  其,0.02413 研,0.02257
科,0.04957 |  论,0.43626 工,0.18750
与,0.00881 |  学,0.13055 、,0.11326
工,0.05572 |  技,0.07955 科,0.07186
科,0.00033 |  程,0.74391 业,0.18038
相,0.00192 |  。,0.14921 、,0.14250
结,0.00588 |  关,0.82363 同,0.01899
合,0.99204 |  合,0.99204 构,0.00249
的,0.30958 |  的,0.30958 。,0.20720
空,0.00494 |  研,0.10103 技,0.05651
气,0.16387 |  间,0.41960 中,0.24321
动,0.05834 |  动,0.05834 污,0.04120
力,0.99369 |  力,0.99369 物,0.00214
学,0.74686 |  学,0.74686 研,0.03954
等,0.00921 |  。,0.14950 ，,0.09320
专,0.01488 |  。,0.38533 ，,0.09180
业,0.63681 |  业,0.63681 门,0.11397
。,0.24895 |  。,0.24895 ，,0.13483
增,0.00021 |  
,0.33644 1,0.20175
设,0.41026 |  设,0.41026 加,0.22282
了,0.10878 |  了,0.10878 的,0.04701
导,0.00056 |  一,0.09942 “,0.05362
弹,0.32982 |  航,0.49141 弹,0.32982
设,0.01844 |  、,0.09084 研,0.04017
计,0.73182 |  计,0.73182 备,0.24397
、,0.08103 |  研,0.13127 系,0.08370
液,0.00157 |  研,0.03883 技,0.03550
体,0.06705 |  压,0.30358 晶,0.23760
火,0.00046 |  化,0.12952 工,0.05099
箭,0.88365 |  箭,0.88365 控,0.03514
发,0.01006 |  、,0.34632 和,0.05800
动,0.33923 |  电,0.51312 动,0.33923
机,0.99960 |  机,0.99960 、,0.00006
、,0.55744 |  、,0.55744 和,0.06087
空,0.02291 |  水,0.02391 电,0.02320
气,0.72210 |  气,0.72210 中,0.11772
动,0.26049 |  动,0.26049 气,0.06005
力,0.99009 |  力,0.99009 机,0.00508
学,0.48701 |  学,0.48701 、,0.07768
、,0.50189 |  、,0.50189 和,0.08419
无,0.00199 |  水,0.05585 空,0.03955
线,0.59329 |  线,0.59329 轨,0.03552
电,0.97878 |  电,0.97878 通,0.00313
设,0.01123 |  、,0.09435 电,0.05061
备,0.47662 |  计,0.51188 备,0.47662
、,0.55557 |  、,0.55557 等,0.10375
航,0.00976 |  电,0.05444 水,0.02758
空,0.93280 |  空,0.93280 天,0.03567
工,0.09576 |  工,0.09576 器,0.09066
程,0.95373 |  程,0.95373 业,0.02913
经,0.00073 |  、,0.45165 等,0.08841
济,0.54237 |  济,0.54237 验,0.31633
、,0.34593 |  、,0.34593 等,0.06345
仪,0.00103 |  电,0.03704 技,0.02671
表,0.04638 |  器,0.84985 式,0.05327
工,0.02155 |  、,0.28488 等,0.04498
艺,0.00769 |  程,0.83270 作,0.07540
等,0.07164 |  、,0.42702 等,0.07164
专,0.01322 |  。,0.31417 ，,0.06643
